n_jobs=1 | threads time: 0.463785s | processes time: 0.471199s
n_jobs=2 | threads time: 0.438729s | processes time: 0.245374s
n_jobs=3 | threads time: 0.458563s | processes time: 0.165588s
n_jobs=4 | threads time: 0.478977s | processes time: 0.134446s
n_jobs=5 | threads time: 0.474907s | processes time: 0.110844s
n_jobs=6 | threads time: 0.485108s | processes time: 0.098035s
n_jobs=7 | threads time: 0.457061s | processes time: 0.093285s
n_jobs=8 | threads time: 0.474353s | processes time: 0.090095s
n_jobs=9 | threads time: 0.469533s | processes time: 0.081326s
n_jobs=10 | threads time: 0.474372s | processes time: 0.079746s
n_jobs=11 | threads time: 0.476375s | processes time: 0.073730s
n_jobs=12 | threads time: 0.479143s | processes time: 0.069035s
n_jobs=13 | threads time: 0.474549s | processes time: 0.068372s
n_jobs=14 | threads time: 0.475073s | processes time: 0.063228s
n_jobs=15 | threads time: 0.482601s | processes time: 0.063746s
n_jobs=16 | threads time: 0.484345s | processes time: 0.065975s
n_jobs=17 | threads time: 0.487207s | processes time: 0.063019s
n_jobs=18 | threads time: 0.475138s | processes time: 0.068462s
n_jobs=19 | threads time: 0.496286s | processes time: 0.064907s
n_jobs=20 | threads time: 0.472416s | processes time: 0.066520s
n_jobs=21 | threads time: 0.492010s | processes time: 0.064303s
n_jobs=22 | threads time: 0.488908s | processes time: 0.072505s
n_jobs=23 | threads time: 0.496779s | processes time: 0.072198s
n_jobs=24 | threads time: 0.469793s | processes time: 0.074562s
n_jobs=25 | threads time: 0.496843s | processes time: 0.070993s
n_jobs=26 | threads time: 0.485905s | processes time: 0.068940s
n_jobs=27 | threads time: 0.493271s | processes time: 0.074140s
n_jobs=28 | threads time: 0.497539s | processes time: 0.070927s
n_jobs=29 | threads time: 0.485498s | processes time: 0.070900s
n_jobs=30 | threads time: 0.499989s | processes time: 0.069336s
n_jobs=31 | threads time: 0.478603s | processes time: 0.080427s
n_jobs=32 | threads time: 0.491623s | processes time: 0.076186s
n_jobs=33 | threads time: 0.492817s | processes time: 0.075167s
n_jobs=34 | threads time: 0.483173s | processes time: 0.072599s
n_jobs=35 | threads time: 0.496727s | processes time: 0.073193s
n_jobs=36 | threads time: 0.503508s | processes time: 0.073044s
n_jobs=37 | threads time: 0.497145s | processes time: 0.077133s
n_jobs=38 | threads time: 0.494981s | processes time: 0.072645s
n_jobs=39 | threads time: 0.485797s | processes time: 0.076920s
n_jobs=40 | threads time: 0.488772s | processes time: 0.076299s
n_jobs=41 | threads time: 0.494736s | processes time: 0.077378s
n_jobs=42 | threads time: 0.496214s | processes time: 0.077368s
n_jobs=43 | threads time: 0.484785s | processes time: 0.076735s
n_jobs=44 | threads time: 0.487424s | processes time: 0.078717s
